tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	2	0	live	A2M	A2MD, CPAMD5, FWP007, S863-7	alpha-2-macroglobulin	alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M	12p13.31	12	NC_000012.12	9067708	9116229	minus	37	103950	
9606	Homo sapiens	13	0	live	AADAC	CES5A1, DAC	arylacetamide deacetylase	arylacetamide deacetylase|arylacetamide deacetylase (esterase)	3q25.1	3	NC_000003.12	151814008	151828488	plus	5	600338	
9606	Homo sapiens	17	0	live	AAVS1	AAV	adeno-associated virus integration site 1		19q13-qter	19						102699	
9606	Homo sapiens	19	0	live	ABCA1	ABC-1, ABC1, CERP, HDLCQTL13, HDLDT1, HPALP1, TGD	ATP binding cassette subfamily A member 1	phospholipid-transporting ATPase ABCA1|ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound	9q31.1	9	NC_000009.12	104781006	104928155	minus	50	600046	
9606	Homo sapiens	21	0	live	ABCA3	ABC-C, ABC3, EST111653, LBM180, SMDP3	ATP binding cassette subfamily A member 3	phospholipid-transporting ATPase ABCA3|ABC transporter 3|ABC-C transporter|ATP-binding cassette sub-family A member 3|ATP-binding cassette transporter 3|ATP-binding cassette, sub-family A (ABC1), member 3|xenobiotic-transporting ATPase ABCA3	16p13.3	16	NC_000016.10	2275881	2340728	minus	33	601615	
9606	Homo sapiens	22	0	live	ABCB7	ABC7, ASAT, Atm1p, EST140535	ATP binding cassette subfamily B member 7	ATP-binding cassette sub-family B member 7, mitochondrial|ABC transporter 7 protein|ATP-binding cassette transporter 7|ATP-binding cassette, sub-family B (MDR/TAP), member 7	Xq13.3	X	NC_000023.11	75051048	75156283	minus	16	300135	
9606	Homo sapiens	24	0	live	ABCA4	ABC10, ABCR, ARMD2, CORD3, FFM, RMP, RP19, STGD, STGD1	ATP binding cassette subfamily A member 4	retinal-specific phospholipid-transporting ATPase ABCA4|ATP binding cassette transporter|ATP-binding cassette sub-family A member 4|ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4|ATP-binding transporter, retina-specific|RIM ABC transporter|RIM protein|photoreceptor rim protein|retina-specific ABC transporter|retinal-specific ATP-binding cassette transporter|stargardt disease protein	1p22.1	1	NC_000001.11	93992834	94121148	minus	50	601691	
9606	Homo sapiens	25	0	live	ABL1	ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	tyrosine-protein kinase ABL1|ABL protooncogene 1 nonreceptor tyrosine kinase|Abelson tyrosine-protein kinase 1|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|truncated ABL protooncogene 1 nonreceptor tyrosine kinase|v-abl Abelson murine leukemia viral oncogene homolog 1	9q34.12	9	NC_000009.12	130713043	130887675	plus	12	189980	
9606	Homo sapiens	27	0	live	ABL2	ABLL, ARG	ABL proto-oncogene 2, non-receptor tyrosine kinase	tyrosine-protein kinase ABL2|Abelson tyrosine-protein kinase 2|abelson-related gene protein|c-abl oncogene 2, non-receptor tyrosine kinase|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2	1q25.2	1	NC_000001.11	179099330	179229693	minus	16	164690	
9606	Homo sapiens	28	0	live	ABO	A3GALNT, A3GALT1, GTB, NAGAT	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	histo-blood group ABO system transferase|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)|B(A) alpha-1,3-galactosyltransferase|histo-blood group A2 transferase	9q34.2	9	NC_000009.12	133250401	133275201	minus	7	110300	
